Ticker,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,WinLoss,ReturnPerc,RSI,RSI_STD,MACD,ATR_Filter,Sector,RelativeVolume,Multi_MA,Crossover,HeldOvernights
ALLT,2024-02-14,2024-02-15,1.8799999952316284,1.8200000524520874,1861,-111.65989351272583,0,-0.03191486326155476,0.8,0.6040277826404197,0.7,0.8,0.42170139496719117,0.7,0.5,1.0,0
SPNS,2024-02-14,2024-02-15,27.58395202261535,28.439496994018555,126,107.79866639680384,1,0.031016040439084527,0.8,0.7151388937515307,0.7,0.8,0.42170139496719117,0.5,0.5,1.0,0
YEXT,2024-02-14,2024-02-15,6.119999885559082,6.380000114440918,571,148.46013069152832,1,0.04248369832413552,1.0,0.38180556041819735,0.8999999999999999,0.8,0.42170139496719117,0.5,0.5,1.0,0
HCKT,2024-02-14,2024-02-15,22.95129891259843,23.442758560180664,152,74.70186643249983,1,0.02141315179823934,1.0,0.21513889375153072,0.8999999999999999,0.8,0.42170139496719117,0.5,0.5,1.0,0
JAMF,2024-02-14,2024-02-15,19.780000686645508,20.8799991607666,176,193.5997314453125,1,0.05561164994618828,0.8,0.7706944493070863,0.7,0.8,0.42170139496719117,0.5,0.5,1.0,0
BRCHF,2024-02-14,2024-02-15,0.18000000715255737,0.19900000095367432,19444,369.43587946891785,1,0.10555551692291695,1.0,0.15958333819597514,0.7,0.8,0.42170139496719117,1.0,0.5,1.0,0
PENG,2024-02-14,2024-02-15,21.690000534057617,21.280000686645508,161,-66.00997543334961,0,-0.018902712647163287,1.0,0.8262500048626418,0.7,0.8,0.42170139496719117,0.3,0.5,1.0,0
UIS,2024-02-14,2024-02-21,7.210000038146973,6.6839286259242465,485,-255.14463492802219,0,-0.07296413445760962,0.8,0.8262500048626418,0.8999999999999999,0.8,0.42170139496719117,0.5,0.5,1.0,3
LASR,2024-02-22,2024-02-23,13.829999923706055,12.994928632463727,255,-212.94317926679346,0,-0.060381149374478915,1.0,0.360498031214758,0.7,0.8,0.7332312346706213,0.5,0.5,1.0,0
CTS,2024-02-22,2024-02-23,44.904008698528756,44.89404296875,78,-0.777326922742958,0,-0.0002219340782169943,1.0,0.7083241181712797,0.7,0.5,0.7332312346706213,0.3,0.5,1.0,0
